Term,Domain,Definition,Category,Related terms,Reference description,Reference source,Publication Title,Authors,Jorunal,Year,Volume,Issue,Edition,Publisher,DOI,PMID,Link to reference,Creation Date,Date of change,Comments,Term ID,
adverse health effect,Food Safety,"A change in the morphology, physiology, growth, development, reproduction or life span of an organism, system, or (sub)population that results in an impairment of functional capacity, an impairment of the capacity to compensate for additional stress, or an increase in susceptibility to other influences.",Epidemiology,,Codex Alimentarius (Procedural Manual),,,,,,,,,,,,http://www.fao.org/3/i8608en/I8608EN.pdf,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977714_adverse health effect_Food Safety,1551347977714
adverse health effect,Animal Health,Definition shared with food safety,Epidemiology,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977887_adverse health effect_Animal Health,1551347977887
agregate dataset,Common Term,dataset format that includes information related to a group of people/cases classified under the same category for a disease or health-related event,Data processing and analysis; Dissemiantion,,ECDC,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977868_agregate dataset_Common Term,1551347977868
alternative method,Food Safety,"An alternative method is a method of analysis that demonstrates or estimates, for a given category of products, the same analyte as is measured using the corresponding reference method.",Sampling and laboratory testing,,NordVal-protocol,,,,,,,,,,,,https://www.nmkl.org/dokumenter/nordval/NordVal-protocol-No-1_Micro_September-2018.pdf,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977794_alternative method_Food Safety,1551347977794
alternative method,Animal Health,Definition shared with food safety,Sampling and laboratory testing,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977888_alternative method_Animal Health,1551347977888
analyte,Animal Health,Definition shared with food safety,Sampling and laboratory testing,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977889_analyte_Animal Health,1551347977889
analyte,Food Safety,"The analyte is the component demonstrated or measured by the method of analysis. It may be the microorganism, its components or products.",Sampling and laboratory testing,,NordVal-protocol,,,,,,,,,,,,https://www.nmkl.org/dokumenter/nordval/NordVal-protocol-No-1_Micro_September-2018.pdf,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978208_analyte_Food Safety,1551347978208
analytical epidemiological evidence,Food Safety,a statistically significant association between consumption of a foodstuff and being a case in an analytical epidemiological study (e.g. cohort or case–control study),Epidemiology,,"EFSA, Manual for reporting on food-borne outbreaks",,,,,,,,,,,,https://efsa.onlinelibrary.wiley.com/doi/epdf/10.2903/sp.efsa.2017.EN-1174,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977769_analytical epidemiological evidence_Food Safety,1551347977769
analytical epidemiological evidence,Animal Health,Definition shared with food safety,Epidemiology,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977890_analytical epidemiological evidence_Animal Health,1551347977890
analytical epidemiology,Common Term,the aspect of epidemiology concerned with why and how a health problem occurs. Analytic epidemiology uses comparison groups to provide baseline or expected values so that associations between exposures and outcomes can be quantified and hypotheses about the cause of the problem can be tested,Data processing and analysis,,CDC glossary,,,,,,,,,,,,https://www.cdc.gov/ophss/csels/dsepd/ss1978/glossary.html,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978211_analytical epidemiology_Common Term,1551347978211
analytical method,Animal Health,Definition shared with food safety,Sampling and laboratory testing,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977891_analytical method_Animal Health,1551347977891
analytical method,Food Safety,the technical procedure for detection of an analyte and generation of a laboratory result,Sampling and laboratory testing,,"EFSA, Standard Sample Description ver. 2.0",,,,,,,,,,,,https://efsa.onlinelibrary.wiley.com/doi/epdf/10.2903/j.efsa.2013.3424,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978295_analytical method_Food Safety,1551347978295
antibiotic,Common Term,"a substance produced by or derived from a microorganism, which destroys or inhibits the growth of other microorganisms.",Epidemiology,,EFSA (Manual for reporting 2017 data on antimicrobial resistance),,,,,,,,,,,,https://www.efsa.europa.eu/en/supporting/pub/en-1369,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977772_antibiotic_Common Term,1551347977772
antimicrobial,Common Term,"a drug which, at low concentrations, exerts an action against microbial pathogens and exhibits selective toxicity towards them.7 Antimicrobials typically include antibiotics but also antivirals and other drugs effective against microorganisms.",Epidemiology,,EFSA (Manual for reporting 2017 data on antimicrobial resistance),,,,,,,,,,,,https://www.efsa.europa.eu/en/supporting/pub/en-1369,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977730_antimicrobial_Common Term,1551347977730
antimicrobial class,Common Term,"antimicrobials are classified in several ways, including: spectrum of activity, effect on bacteria and mode of action",Epidemiology,,,,,,,,,,,,,,http://amrls.cvm.msu.edu/pharmacology/antimicrobials/antimicrobials-an-introduction,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977804_antimicrobial class_Common Term,1551347977804
antimicrobial resistance,Common Term,the ability of microorganisms of certain species to survive or even grow in the presence of a given concentration of an antimicrobial agent that is usually sufficient to inhibit or kill microorganisms of the same species (Directive 2003/99/EC). Resistance against an antimicrobial is considered to be present if the MIC exceeds the breakpoint or the epidemiological cut-off value.,Sampling and laboratory testing,,EFSA (Manual for reporting 2017 data on antimicrobial resistance),,,,,,,,,,,,https://www.efsa.europa.eu/en/supporting/pub/en-1369,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978205_antimicrobial resistance_Common Term,1551347978205
assembly,Common Term,"creating af representative of the original DNA sample, from the reads.",Sampling and laboratory testing; Data processing and analysis,,ORION preliminary definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977852_assembly_Common Term,1551347977852
attack rate (AR),Public Health,The proportion of individuals who are exposed to an infectious agent who become (clinically) ill.,Epidemiology,,FOHM definition - to obtain source/reference?,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978273_attack rate (AR)_Public Health,1551347978273
audit,Food Safety,a systematic and independent examination to determine whether activities and related results comply with planned arrangements and whether these arrangements are implemented effectively and are suitable to achieve objectives,Regulatory,,REGULATION (EC) No 882/2004,,,,,,,,,,,,https://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CONSLEG:2004R0882:20090807:EN:PDF,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977777_audit_Food Safety,1551347977777
audit,Animal Health,Definition shared with food safety,Regulatory,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977892_audit_Animal Health,1551347977892
base calling,Common Term,converting visual/chemical data to raw reads.,Sampling and laboratory testing,,ORION preliminary definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977851_base calling_Common Term,1551347977851
baseline data,Food Safety,Baselines establish the current situation and are used as a starting point against which future performance will be measured. Additionally the collection of baseline data under a pilot program can serve to identify indicators that may not work.,Regulatory,,Codex Alimentarius (Principles and Guidlines for Monitoring the performance of National Food Control Systems),,,,,,,,,,,,https://bit.ly/2BXG3EG,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977823_baseline data_Food Safety,1551347977823
baseline data,Animal Health,Definition shared with food safety,Regulatory,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977893_baseline data_Animal Health,1551347977893
batch,Food Safety,a group or set of identifiable products obtained from a given process under practically identical circumstances and produced in a given place within one defined production period,Sampling and laboratory testing,,Regulation (EC) No 2073/2005,,,,,,,,,,,,https://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2005:338:0001:0026:EN:PDF,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977738_batch_Food Safety,1551347977738
batch,Animal Health,Definition shared with food safety,Sampling and laboratory testing,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977894_batch_Animal Health,1551347977894
case based dataset,Common Term,dataset format that includes information on individual records related to a disease/health event.,Data processing and analysis; Dissemination,,ECDC,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977867_case based dataset_Common Term,1551347977867
case definition,Public Health,"a set of uniformly applied criteria (not necessarily diagnostic criteria) that must be fulfilled in order to identify a person as representing a case of a particular disease or condition. In epidemiology, particularly for an outbreak investigation, a case definition specifies clinical criteria and details of time, place, and person, as well as laboratory results if applicable.",Epidemiology,,"Adapted from CDC glossary and Dictionary of Epidemiology: A Dictionary of Epidemiology, Sixth Edition Edited by Miquel Porta ISBN: 978-0-199-97672-0",,,,,,,,,,,,https://www.cdc.gov/ophss/csels/dsepd/ss1978/glossary.html,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977767_case definition_Public Health,1551347977767
case definition,Animal Health,Definition shared with public health and food safety,Epidemiology,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978034_case definition_Animal Health,1551347978034
case definition,Food Safety,"definition stating when the sample is considered to be positive for the zoonotic agent or when the person, animal, herd or flock is considered to be infected with the zoonotic agent.",Epidemiology,,"EFSA, Manual for reporting on 2017 zoonoses data",,,,,,,,,,,,https://efsa.onlinelibrary.wiley.com/doi/epdf/10.2903/sp.efsa.2018.EN-1370,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978041_case definition_Food Safety,1551347978041
case fatality rate (CFR),Public Health,The proportion of people who will die of a certain disease out of those who contract it.,Epidemiology,,FOHM definition - to obtain source/reference?,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978274_case fatality rate (CFR)_Public Health,1551347978274
causative agent,Animal Health,Definition shared with food safety,Sampling and laboratory testing,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977895_causative agent_Animal Health,1551347977895
causative agent,Food Safety,"the pathogen or its product, such as a toxin or bioactive amine, considered to be the cause of the food-borne outbreak.",Sampling and laboratory testing,,"EFSA, Manual for reporting on food-borne outbreaks",,,,,,,,,,,,https://efsa.onlinelibrary.wiley.com/doi/epdf/10.2903/sp.efsa.2017.EN-1174,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978250_causative agent_Food Safety,1551347978250
census (sampling),Animal Health,Definition shared with food safety,Sampling and laboratory testing,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977896_census (sampling)_Animal Health,1551347977896
census (sampling),Food Safety,"When the totality of a population or sub-population, on which the data are reported, is controlled.",Sampling and laboratory testing,,"EFSA, Standard Sample Description ver. 2.0",,,,,,,,,,,,https://efsa.onlinelibrary.wiley.com/doi/epdf/10.2903/j.efsa.2013.3424,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978312_census (sampling)_Food Safety,1551347978312
chain of infection,Common Term,"the progression of an infectious agent that leaves its reservoir or host through a portal of exit, is conveyed by a mode of transmission, and then enters through an appropriate portal of entry to infect a susceptible host.",Epidemiology,,CDC glossary,,,,,,,,,,,,https://www.cdc.gov/ophss/csels/dsepd/ss1978/glossary.html,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978271_chain of infection_Common Term,1551347978271
clinical breakpoint,Public Health,"Breakpoints are discriminatory antimicrobial concentrations used in the interpretation of results of susceptibility testing to define isolates as susceptible, intermediate or resistant. Clinical breakpoints are for everyday use in the clinical laboratory to advise on patient therapy.",Sampling and laboratory testing,,"MacGowan, Alasdair P., and Richard Wise. “Establishing MIC Breakpoints and the Interpretation of in Vitro Susceptibility Tests.” Journal of Antimicrobial Chemotherapy 48.suppl_1 (2001): 17–28. Web",,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/pubmed/11420334,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977830_clinical breakpoint_Public Health,1551347977830
clinical criteria,Public Health,"the medical features (e.g., symptoms, medical examination findings, and laboratory results) that are used in a case definition.",Epidemiology,,CDC glossary,,,,,,,,,,,,https://www.cdc.gov/ophss/csels/dsepd/ss1978/glossary.html,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978238_clinical criteria_Public Health,1551347978238
clinical investigations,Food Safety,clinical investigation in animals is considered as a selective way of sampling and results in a number of samples obtained in a passive way. The samples obtained and analysed via clinical investigations are heterogeneous with relation to the species (matrix) as well as type of samples. The reason for the analysis of the samples is very often a clinical examination of (diseased) animals by a veterinarian and/or specific clinical signs observed by the farmer and/or veterinarian.,Type of study,,"EFSA, samplingstrategy.xlsx",,,,,,,,,,,,tiny.cc/86tc0y,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977838_clinical investigations_Food Safety,1551347977838
clinical investigations,Animal Health,Definition shared with food safety,Type of study,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977897_clinical investigations_Animal Health,1551347977897
clinical surveillace,Animal Health,Definition shared with public health,Type of study,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978014_clinical surveillace_Animal Health,1551347978014
clinical surveillace,Public Health,Propective case finding (based on clinical criteria) and peer review to improve identification of adverse events,Type of study,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978148_clinical surveillace_Public Health,1551347978148
clone,Common Term,"a bacteria, produced from one ancestor, to which they are genetically identical.",Sampling and laboratory testing,,ORION preliminary definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977710_clone_Common Term,1551347977710
cluster,Public Health,Aggregations of relatively uncommon events or diseases in space and/or time in amounts that are believed or perceived to be greater than could be expected by chance.,Epidemiology,,"Dictionary of Epidemiology: A Dictionary of Epidemiology, Sixth Edition Edited by Miquel Porta ISBN: 978-0-199-97672-0",,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977787_cluster_Public Health,1551347977787
cluster,Animal Health,Definition shared with public health,Epidemiology,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978015_cluster_Animal Health,1551347978015
cluster amplification,Common Term,"how sequencing works in most NGS methods, a single library fragment is amplified and copied in a physically isolated location.",Sampling and laboratory testing,,ORION preliminary definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978075_cluster amplification_Common Term,1551347978075
cluster detection,Common Term,Identifying groups of things that are clustered together according to their similarity to each other by some measure; this includes (but is not limited to) pathogen isolates that are clustered by genetic similarity and cases of an infectious disease that are clustered in space or time.,Sampling and laboratory testing; Data processing and analysis,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978080_cluster detection_Common Term,1551347978080
codex alimentarius,Animal Health,Definition shared with food safety,Regulatory,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977898_codex alimentarius_Animal Health,1551347977898
codex alimentarius,Food Safety,"The Codex Alimentarius, or ""Food Code"" is a collection of standards, guidelines and codes of practice adopted by the Codex Alimentarius Commission. The Commission, also known as CAC, is the central part of the Joint FAO/WHO Food Standards Programme and was established by FAO and WHO to protect consumer health and promote fair practices in food trade. It held its first meeting in 1963.",Regulatory,,FAO/WHO,,,,,,,,,,,,http://www.fao.org/fao-who-codexalimentarius/en/,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978215_codex alimentarius_Food Safety,1551347978215
communicable disease,Common Term,"A communicable disease is an illness due to a specific infectious (biological) agent or its toxic products capable of being directly or indirectly transmitted from man to man, from animal to man, from animal to animal, or from the environment (through air, water, food, etc..) to man.",Epidemiology,,,,,,,,,,,,,,https://www.pitt.edu/~super7/32011-33001/32321.ppt,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977720_communicable disease_Common Term,1551347977720
competent authority,Animal Health,Definition shared with food safety,Regulatory,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977899_competent authority_Animal Health,1551347977899
competent authority,Food Safety,"the central authority of a Member State competent for the organisation of official controls or any other authority to which that competence has been conferred; it shall also include, where appropriate, the corresponding authority of a third country",Regulatory,,REGULATION (EC) No 882/2004,,,,,,,,,,,,https://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CONSLEG:2004R0882:20090807:EN:PDF,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978213_competent authority_Food Safety,1551347978213
complete linkage tree,Common Term,like single linkage but considering the longest distance between entries in the clusters.,Data processing and analysis,,ORION preliminary definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978102_complete linkage tree_Common Term,1551347978102
compliance with microbiological criteria,Animal Health,Definition shared with food safety,Regulatory,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977900_compliance with microbiological criteria_Animal Health,1551347977900
compliance with microbiological criteria,Food Safety,"obtaining satisfactory or acceptable results set in Annex I when testing against the values set for the criteria through the taking of samples, the conduct of analyses and the implementation of corrective actions, in accordance with food law and the instructions given by the competent authority (Regulation (EC) No 2073/2005).",Regulatory,,REGULATION (EC) No 2073/2005,,,,,,,,,,,,https://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2005:338:0001:0026:EN:PDF,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978124_compliance with microbiological criteria_Food Safety,1551347978124
compliance with microbiological target,Animal Health,Definition shared with food safety,Regulatory,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977901_compliance with microbiological target_Animal Health,1551347977901
compliance with microbiological target,Food Safety,"The occurrence of a pathogen adheres to a predefined specified result that is to be realized within a specific timeframe. For some indicators, the target might simply be to “increase”, “maintain”, or “decrease” from the baseline.",Regulatory,,ORION preliminary definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978246_compliance with microbiological target_Food Safety,1551347978246
