Category,Sector,Term,Definition,Adapted/Original_Definition,Related_terms,relatedTermIDs,Link_to_reference,DOI,PMID,ISBN,Reference_source,Publication_Title,Year,Authors,Publisher,Journal,Reference_description,Creation_Date,Date_of_change,UUID
 Data processing and analysis; Sampling and Laboratory testing,Shared Term,amplicon,"An amplicon is a specific fragment or locus of DNA from a target organism (or organisms), generally 200–1000 bp in length, copied millions of times by the polymerase chain reaction (PCR). Amplicons for a single target (i.e., a reaction with a single pair of PCR primers) can be prepared from a mixed population of DNA templates such as HIV particles extracted from a patient’s blood or total bacterial DNA isolated from a medical or an environmental sample. The resulting deep sequencing provides detailed information about the variants at the target locus across the population of different DNA templates. Amplicons produced from many different PCR primers on many different DNA samples can be combined (with the aid of multiplex barcodes) into a single DNA sequencing reaction on an NGS machine.",original definition,,,https://www.dnalinkseqlab.com/glossary/,,,,Website,Glossary of Sequencing Terms,Accessed on: 15.05.2019,,,,,Wed May 15 2019 13:46:54 GMT+0200 (Mitteleuropäische Sommerzeit),,amplicon_0948192f-4cdc-446e-a0fa-b7365c66ed45
Sampling and laboratory testing,Shared Term,analyte,"The analyte is the component demonstrated or measured by the method of analysis. It may be the microorganism, its components or products.",,,,https://www.nmkl.org/index.php/nb/nordval-validation-protocol,,,,Report,NordVal International Protocol for the validation of microbiological alternative (proprietary) methods against a reference method – Protocol No. 1,2018,,NMKL/Nordval,,,"Do., Apr. 4 2019 11:37:42",24.04.2019 04:02:15,analyte_88e41708-fc75-4f98-97b1-4f2669ba0c05
Sampling and laboratory testing,Shared Term,analyte,"The analyte is the component demonstrated or measured by the method of analysis. It may be the microorganism, its components or products.",original definition,,,https://www.nmkl.org/dokumenter/nordval/NordVal-Protocol-1_Micro_September-2018.pdf,,,,NMKL/ NordVal,NordVal International Protocol for the validation of microbiological alternative (proprietary) methods against a reference method – Protocol No. 1,2018,,NMKL/Nordval,,NordVal-protocol,Thu Apr 04 2019 11:37:42 GMT+0200 (MESZ),15.05.2019 10:57:41,analyte_e56f444b-20e4-4c81-98e3-138ac20d7e8f
Epidemiology,Shared Term,analytical epidemiological evidence,a statistically significant association between zoonosis in a foodstuff and an infected human/ animal/ batch in an analytical epidemiological study,adapted definition,,,https://efsa.onlinelibrary.wiley.com/doi/epdf/10.2903/sp.efsa.2017.EN-1174,10.2903/sp.efsa.2017.EN-1174,,,Report,Manual for reporting on food-borne outbreaks in accordance with Directive 2003/99/EC for information deriving from the year 2016,2017,,EFSA,,,"Do., Apr. 4 2019 11:37:38",24.04.2019 04:06:24,analyticalepidemiologicalevidence_e46e0146-df2c-48c8-ab1a-cd09cda6c9e6
Epidemiology,Food Safety,analytical epidemiological evidence (outbreak),a statistically significant association between consumption of a foodstuff and being a case in an analytical epidemiological study (e.g. cohort or case–control study),adapted definition,,,https://efsa.onlinelibrary.wiley.com/doi/epdf/10.2903/sp.efsa.2017.EN-1174,10.2903/sp.efsa.2017.EN-1174,,,EFSA,Manual for reporting on food-borne outbreaks inaccordance with Directive 2003/99/EC for informationderiving from the year 2016,2017,,EFSA,,"EFSA, Manual for reporting on food-borne outbreaks","Do., Apr. 4 2019 11:37:38",23.04.2019 07:47:39,analyticalepidemiologicalevidenceoutbreak_a477d9b1-b639-4484-9af3-260cb383632a
Data processing and analysis,Shared Term,analytical epidemiology,the aspect of epidemiology concerned with why and how a health problem occurs. Analytic epidemiology uses comparison groups to provide baseline or expected values so that associations between exposures and outcomes can be quantified and hypotheses about the cause of the problem can be tested,,,,https://www.cdc.gov/reproductivehealth/data_stats/glossary.html,,,,Website,Epidemiology Glossary,Accessed on: 23.04.2019,,ECDC,,CDC glossary,"Do., Apr. 4 2019 11:37:38",23.04.2019 02:06:29,analyticalepidemiology_59905fdb-a0e1-4f3e-846e-824e7eb2b1fd
Sampling and laboratory testing,Shared Term,analytical method,the technical procedure for detection of an analyte and generation of a laboratory result,,,,https://doi.org/10.2903/j.efsa.2013.3424,https://doi.org/10.2903/j.efsa.2013.3424,,,EFSA,Standard Sample Description ver. 2.0,2013,,EFSA,,,"Do., Apr. 4 2019 11:37:42",24.04.2019 04:18:01,analyticalmethod_d1779fed-31df-432a-a888-11fbf9942c24
Data processing and analysis,Food Safety,analytical methodologies,"Different scientifically valid methodologies may be used for the analysis of non-random surveillance data. Where no data are available, estimates based on expert opinions, gathered and combined using a formal, documented and scientifically valid methodology may be used.",,,,http://www.oie.int/index.php?id=169&L=0&htmfile=chapitre_surveillance_general.htm,,,978-92-95108-59-2,OIE,Terrestrial Animal Health Code,2018,,OIE,,OIE terrestrial code,"Do., Apr. 4 2019 11:37:38",24.04.2019 04:21:44,analyticalmethodologies_1b88a76e-8753-4193-bb64-99063916debf
ORION Specific; Epidemiology; Regulatory,Shared Term,animal health status,"status of a country, zone or compartment with respect to a animal disease in accordance with the criteria listed in the relevant disease-specific chapter or Chapter 1.4. of the Terrestrial Code of the OIE.",,,,http://www.oie.int/index.php?id=169&L=0&htmfile=glossaire.htm,,,978-92-95108-59-2,OIE,Terrestrial Animal Health Code,2018,,OIE,,,Thu Apr 18 2019 09:47:03 GMT+0200 (MESZ)_animalhealthstatus_SharedTerm_Shared Term,,animalhealthstatus_af9d7e64-4f3a-4013-a310-13e82790edb3
Sampling and laboratory testing;Epidemiology,Shared Term,antibiotic,A drug that kills or stops the growth of bacteria. Antibiotics are a type of antimicrobial. Penicillin and ciprofloxacin are examples of antibiotics.,original definition,,,https://www.cdc.gov/narms/resources/glossary.html,,,,Website,Glossary of Terms Related to Antibiotic Resistance,Accessed on: 16.05.2019,,CDC,,,Thu Apr 04 2019 11:37:38 GMT+0200 (MESZ),16.05.2019 17:40:21,antibiotic_f34d8482-7a94-4bdf-974e-74319ae54a77
Sampling and laboratory testing;Epidemiology,Shared Term,antibiotic,"a substance produced by or derived from a microorganism, which destroys or inhibits the growth of other microorganisms.",original definition,,,https://www.efsa.europa.eu/en/supporting/pub/en-1369,10.2903/sp.efsa.2018.EN-1369,,,Report,Manual for reporting on antimicrobial resistance within the framework of Directive 2003/99/EC and Decision 2013/652/EU for information derived from the year 2017.,2018,,EFSA,,EFSA (Manual for reporting 2017 data on antimicrobial resistance),"Do., Apr. 4 2019 11:37:38",23.04.2019 02:27:47,antibiotic_78de1fb4-62cf-422d-913b-637fb1066629
 Epidemiology,Shared Term,antibiotic class,Antibiotics are categorized into classes of drugs. Each class is defined by the way it kills or stops the growth of bacteria. NARMS uses the Clinical and Laboratory Standards Institute’s drug classes  to categorize antibiotics.,original definition,drug class, drugclass_bf855729-2cac-4c19-8572-396993f4ea7e,https://www.cdc.gov/narms/resources/glossary.html,,,,Website,Glossary of Terms Related to Antibiotic Resistance,Accessed on: 16.05.2019,,CDC,,,Thu May 16 2019 17:43:26 GMT+0200 (Mitteleuropäische Sommerzeit),,antibioticclass_e6636953-275d-4129-9bb1-f5fb719d3916
Sampling and laboratory testing,Shared Term,antibiotic class,"Antibiotics are usually classified or grouped by their chemical structure. Some antibiotic classes work by killing
bacteria and others work by preventing the ability of bacteria to multiply.",original definition,drug class, drugclass_bf855729-2cac-4c19-8572-396993f4ea7e,https://gis.cdc.gov/grasp/PSA/Downloads/OAU-Antibiotic-Class-Definitions.pdf,,,,Website,Antibiotic Class Definitions ,2019,CDC,,,,Thu Apr 04 2019 11:37:38 GMT+0200 (MESZ),15.05.2019 15:39:33,antibioticclass_6f193861-7c9d-4f47-8fd6-03414b83dbcd
Epidemiology,Shared Term,antimicrobial,"A substance, such as an antibiotic, that kills or stops the growth of microbes, including bacteria, fungi, or viruses. Antimicrobials are grouped according to the microbes they act against (antibiotics, antifungals, and antivirals). Also referred to as drugs.",original definition,,,https://www.cdc.gov/narms/resources/glossary.html,,,,Website,Glossary of Terms Related to Antibiotic Resistance,Accessed on: 16.05.2019,,CDC,,,Thu Apr 04 2019 11:37:43 GMT+0200 (MESZ),16.05.2019 17:41:32,antimicrobial_21aa5279-f289-462d-a9d9-1a6051c74dcc
Epidemiology,Shared Term,antimicrobial,"a drug which, at low concentrations, exerts an action against microbial pathogens and exhibits selective toxicity towards them. Antimicrobials typically include antibiotics but also antivirals and other drugs effective against microorganisms.",,,,https://www.efsa.europa.eu/en/supporting/pub/en-1369,10.2903/sp.efsa.2018.EN-1369,,,Report,Manual for reporting on antimicrobial resistance within the framework of Directive 2003/99/EC and Decision 2013/652/EU for information derived from the year 2017.,2018,,EFSA,,EFSA (Manual for reporting 2017 data on antimicrobial resistance),"Do., Apr. 4 2019 11:37:43",,antimicrobial_98429f7d-710d-4687-8795-a19d49f48056
Epidemiology,Shared Term,antimicrobial classification,"antimicrobials are classified in several ways, including: spectrum of activity, effect on bacteria and mode of action",,,,http://amrls.cvm.msu.edu/pharmacology/antimicrobials/antimicrobials-an-introduction,,,,Website,,,,,,,"Do., Apr. 4 2019 11:37:43",,antimicrobialclassification_7b0dd474-627a-40d9-becd-75fb6a80584d
Sampling and laboratory testing;Epidemiology,Shared Term,antimicrobial resistance,the ability of microorganisms of certain species to survive or even grow in the presence of a given concentration of an antimicrobial agent that is usually sufficient to inhibit or kill microorganisms of the same species,,,,http://data.europa.eu/eli/dir/2003/99/oj,,,,EU Directive or Regulation,"Directive 2003/99/EC of the European Parliament and of the Council of 17 November 2003 on the monitoring of zoonoses and zoonotic agents, amending Council Decision 90/424/EEC and repealing Council Directive 92/117/EEC",2003,"European Parliament, Council of the European Union",,,,"Do., Apr. 4 2019 11:37:38",24.04.2019 04:29:24,antimicrobialresistance_3f6b1899-d909-47b4-89ee-6fa0f137e16c
Sampling and laboratory testing;Epidemiology,Shared Term,antimicrobial resistance,"The ability of a microbe (germ) to resist the effects of a drug. Antimicrobial-resistant germs are not killed by the drugs that are typically used against them and may continue to multiply. Antimicrobial resistance includes antibacterial, antifungal, and antiviral resistance.",original definition,,,https://www.cdc.gov/narms/resources/glossary.html,,,,Website,Glossary of Terms Related to Antibiotic Resistance,Accessed on: 16.05.2019,,CDC,,,Thu Apr 04 2019 11:37:38 GMT+0200 (MESZ),16.05.2019 17:49:21,antimicrobialresistance_ca7eca73-939f-4f7a-bfc0-6de07a64f6e3
Sampling and laboratory testing; Data processing and analysis,Shared Term,assembly,see sequence assembly,original definition,de novo assembly, denovoassembly_35fdb630-742e-4fbc-a005-989fc74c3028; denovoassembly_54f46e70-ffed-41a0-b7ef-ba8b126e6c9a; denovoassembly_4ec93710-6f65-4211-904e-2a2f687c28d0,,,,,ORION preliminary definition,,,,,,,Wed May 15 2019 13:41:25 GMT+0200 (Mitteleuropäische Sommerzeit),,assembly_eafd50e0-42d2-489e-88f4-d82d2490fe8f
Sampling and laboratory testing; Data processing and analysis,Shared Term,assembly,"creating af representative of the original DNA sample, from the reads.",,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:43",24.04.2019 04:30:02,assembly_0a6cf7fb-65aa-445c-bd38-3e8e7aecc207
Sampling and laboratory testing; Data processing and analysis,Shared Term,assembly,"creating af representative of the original DNA sample, from the reads.",original definition,,,,,,,ORION preliminary definition,,,,,,,Thu Apr 04 2019 11:37:43 GMT+0200 (MESZ),15.05.2019 13:38:59,assembly_1c2b5d38-ec9e-45b3-a304-81f2e53ebe52
Epidemiology,Food Safety,Attack Rate (AT),Term not used in this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:38",,AttackRateAT_31a85cc6-c13a-49df-a701-73b1b620fb9b
Epidemiology,Public Health,Attack Rate (AT),"A form of incidence that measures the proportion of persons in a population who experience an acute health event during a limited period (e.g., during an outbreak), calculated as the number of new cases of a health problem during an outbreak divided by the size of the population at the beginning of the period, usually expressed as a percentage or per 1,000 or 100,000 population.",original definition,,,https://www.cdc.gov/csels/dsepd/ss1978/glossary.html,,,,Website,Principles of Epidemiology in Public Health Practice - Glossary,Accessed on: 16.05.2019,,CDC,,CDC glossary,Thu Apr 04 2019 11:37:38 GMT+0200 (MESZ),18.05.2019 14:32:10,AttackRateAT_7c40aa5c-99db-4a8e-81fc-c7a16b0ddd08
Epidemiology,Public Health,Attack Rate (AT),"A variant of an incident rate, applied to a narrowly defined population observed for a limited period of time, such as during an epidemic.",original definition,incidence rate, incidencerate_a0ebf894-0d88-4509-9e72-8531ea7758ac; incidencerate_2d43db71-b703-40b1-b550-e8128785e924; incidencerate_966c3f79-3328-4615-8842-c9a276bad260,https://www.cdc.gov/reproductivehealth/data_stats/glossary.html,,,,Website,Epidemiology Glossary,Accessed on: 16.05.2019,,CDC,,,Thu Apr 04 2019 11:37:38 GMT+0200 (MESZ),16.05.2019 17:57:25,AttackRateAT_56578ca4-3acc-48e7-a0f2-20537e8a8239
Epidemiology,Animal Health,Attack Rate (AT),"Attack rates are actually risks (or incidence proportion or cumulative incidence). Attack rates are often expressed as a percentage. An attack rate is not an incidence rate. It is actually a risk (also called incidence proportions), and the time contribution of each individual is not included in the denominator. The denominator consists of the number of individuals present at the beginning of the outbreak, disregarding those who will leave, develop illness, or die. This means that the cases (numerator) are also included in the denominator: it is therefor a true proportion. In outbreaks of short duration, attack rate is a term frequently used instead of risk or incidence proportion. In a foodborne outbreak, we will often refer to food specific attack rates. In this circumstance, the denominator will consist of the number of individuals who ate a specific food, while the numerator will consists of the number of individuals who ate that food and became ill.",,,,https://wiki.ecdc.europa.eu/fem/w/wiki/attack-rates-and-case-fatality,,,,Website,Attack rates and case fatality,Accessed on: 16.05.2019,,ECDC,,Adapted from ECDC field epidemiology manual wiki,"Do., Apr. 4 2019 11:37:38",,AttackRateAT_3ebae8e0-7b4a-42d3-93fe-14bd65ca58a0
Regulatory,Shared Term,audit,a systematic and independent examination to determine whether activities and related results comply with planned arrangements and whether these arrangements are implemented effectively and are suitable to achieve objectives,,,,http://data.europa.eu/eli/reg/2017/625/oj,,,,EU Directive or Regulation,"Regulation (EU) 2017/625 of the European Parliament and of the Council of 15 March 2017 on official controls and other official activities performed to ensure the application of food and feed law, rules on animal health and welfare, plant health and plant protection products",2017,"European Parliament, Council of the European Union",,,,"Do., Apr. 4 2019 11:37:43",24.04.2019 04:50:48,audit_fb93ba62-a410-4ade-b1e7-6839b8d41ad1
Sampling and laboratory testing,Shared Term,base calling,Base calling is the process of algorithmically deciding the incorporated nucleotide from the signal intensities that are detected during sequencing process.,,,,https://www.sciencedirect.com/topics/biochemistry-genetics-and-molecular-biology/base-calling,,,978-0-12-811432-2,Book,Encyclopedia of Bioinformatics and Computational Biology,2019,,Elsevier,,,"Do., Apr. 4 2019 11:37:43",24.04.2019 04:54:59,basecalling_061418e1-902c-4997-8192-506f60ab85cd
Regulatory,Shared Term,baseline data,Baselines establish the current situation and are used as a starting point against which future performance will be measured. Additionally the collection of baseline data under a pilot program can serve to identify indicators that may not work.,,,,https://bit.ly/2BXG3EG,,,,Report,"Principles and Guidlines for Monitoring the performance of National Food Control Systems CXG 91-2017
",2017,,Codex Alimentarius,,,"Do., Apr. 4 2019 11:37:43",24.04.2019 05:00:48,baselinedata_c58ec74b-26f8-4320-a376-db1d90154307
Epidemiology,Food Safety,basic reproductive rate,Term not used in this sector,,,,,,,,ORION preliminary definition,,,,,,,,,basicreproductiverate_be13b939-b4cc-441d-9eca-d9c92b44e287
Epidemiology,Public Health,basic reproductive rate,"A measure of the number of infections produced, on average, by an infected individual in the early stages of an epidemic, when virtually all
contacts are susceptible. ",original definition,,,http://pestcontrol.ru/assets/files/biblioteka/file/19-john_m_last-a_dictionary_of_epidemiology_4th_edition-oxford_university_press_usa_2000.pdf,,,,Book,A Dictionary of Epidemiology,2001,John M. Last,,,,,18.05.2019 14:33:05,basicreproductiverate_52893f03-bb02-4072-85d2-9c53e1b7528c
Epidemiology,Animal Health,basic reproductive rate,"The number of infections produced, on average, by one infectious case in the early stages of an epidemic when herd immunity is low or zero and virtually all individuals in the exposed population are susceptible. A term used in infectious disease epidemiology; the word “rate” is a misnomer because there is no precise or consistent time element.",,reproductive rate,reproductiverate_d6f6dc59-88e2-4865-a08a-dd09dfef6d84; reproductiverate_fac56932-37da-4ce5-b913-de68bea164af; reproductiverate_9102f6bb-597c-409a-b976-e7afb158ca1e,http://www.oxfordreference.com/view/10.1093/acref/9780195160901.001.0001/acref-9780195160901-e-355,,eISBN: 9780199891313,,Book,A dictionary of public health,2007,John M. Last,Oxford University Press,,,"Do., Apr. 4 2019 11:37:38",,basicreproductiverate_e78780a3-95ca-4b81-a232-5a96b4cff447
Epidemiology,Animal Health,basic reproductive ratio,"number of cases one case generates on average over the course of its infectious period, in an otherwise uninfected population",,,,https://science.sciencemag.org/content/324/5934/1557,10.1126/science.1176062 ,,,Journal Article,Pandemic Potential of a Strain of Influenza A (H1N1): Early Findings,2009,"    Christophe Fraser1,*, Christl A. Donnelly1,*, Simon Cauchemez1, William P. Hanage1, Maria D. Van Kerkhove1, T. Déirdre Hollingsworth1, Jamie Griffin1, Rebecca F. Baggaley1, Helen E. Jenkins1, Emily J. Lyons1, Thibaut Jombart1, Wes R. Hinsley1, Nicholas C. Grassly1, Francois Balloux1, Azra C. Ghani1, Neil M. Ferguson1,†, Andrew Rambaut2, Oliver G. Pybus3, Hugo Lopez-Gatell4, Celia M. Alpuche-Aranda5, Ietza Bojorquez Chapela4, Ethel Palacios Zavala4, Dulce Ma. Espejo Guevara6, Francesco Checchi7, Erika Garcia7, Stephane Hugonnet7, Cathy Roth7, The WHO Rapid Pandemic Assessment Collaboration",,Science,,,14.05.2019 18:20:35,basicreproductiveratio_bab6d46f-86ae-4b8d-9b1c-14ed15b5d349
Sampling and laboratory testing,Shared Term,batch,a group or set of identifiable products obtained from a given process under practically identical circumstances and produced in a given place within one defined production period,,,,http://data.europa.eu/eli/reg/2005/2073/oj,,,,EU Directive or Regulation,Commission Regulation (EC) No 2073/2005 of 15 November 2005 on microbiological criteria for foodstuffs,2005,European Commission,,Official Journal of the European Union,,"Do., Apr. 4 2019 11:37:43",24.04.2019 05:04:25,batch_a8e4bdae-8aa9-44e7-9dcf-ca1a1f809a51
Data processing and analysis; Dissemination,Shared Term,case based dataset,dataset format that includes information on individual records related to a disease/health event.,,,,https://ecdc.europa.eu/sites/portal/files/media/en/publications/Publications/Data-quality-monitoring-surveillance-system-evaluation-Sept-2014.pdf,doi 10.2900/35329,,,ECDC,Data quality monitoring and surveillance system evaluation A handbook of methods and applications,2014,,ECDC,,ECDC,"Do., Apr. 4 2019 11:37:43",,casebaseddataset_23ea5ccb-6db2-4a80-949e-274b5fe7c134
Epidemiology,Public Health,case definition,"a set of uniformly applied criteria for determining whether a person should be identified as having a particular disease, injury, or other health condition. In epidemiology, particularly for an outbreak investigation, a case definition specifies clinical criteria and details of time, place, and person.",,,,https://www.cdc.gov/csels/dsepd/ss1978/SS1978.pdf,,,,Report,"Principles of Epidemiology in Public Health Practice - An Introduction
to Applied Epidemiology and Biostatistics",2012,,CDC,,,"Do., Apr. 4 2019 11:37:43",,casedefinition_50545a47-62db-4f09-a697-141811bc19fa
Epidemiology,Food Safety,case definition,"definition stating when the sample is considered to be positive for the zoonotic agent or when the person, animal, herd or flock is considered to be infected with the zoonotic agent.",,,,https://efsa.onlinelibrary.wiley.com/doi/epdf/10.2903/sp.efsa.2018.EN-1370,10.2903/sp.efsa.2018.EN-1370,,,Report,"Manual for reporting on zoonoses and zoonotic agents, within the framework of Directive 2003/99/EC, and on some other pathogenic microbiological agents for information derived from the year 2017",2018,,EFSA,,,"Do., Apr. 4 2019 11:37:43",24.04.2019 05:09:01,casedefinition_e8f6d2e8-f004-4a3c-9840-e184fa0a1e91
Epidemiology,Animal Health,case definition,"definition stating when the sample is considered to be positive for the zoonotic agent or when the person, animal, herd or flock is considered to be infected with the zoonotic agent.",,,,https://efsa.onlinelibrary.wiley.com/doi/epdf/10.2903/sp.efsa.2018.EN-1370,10.2903/sp.efsa.2018.EN-1370,,,Report,"Manual for reporting on zoonoses and zoonotic agents, within the framework of Directive 2003/99/EC, and on some other pathogenic microbiological agents for information derived from the year 2017",2018,,EFSA,,,"Do., Apr. 4 2019 11:37:43",24.04.2019 05:09:01,casedefinition_5d63d527-bcf0-4e26-9bac-404ac7a3b24a
 Epidemiology,Public Health,case fatality,Case fatality is the concept used to express the proportion of cases of a certain disease that actually dies due to the consequences of that disease.,,,,https://wiki.ecdc.europa.eu/fem/w/wiki/attack-rates-and-case-fatality,,,,ECDC,"Case fatality, rates and ratios: all the same?",Accessed: 14.05.2019,,,,,Tue May 14 2019 17:19:51 GMT+0200 (Mitteleuropäische Sommerzeit),,casefatality_2914b9cd-e8dd-4886-a7bf-a67774f1b085
Epidemiology,Food Safety,Case Fatality Rate (CFR),Term not used in this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:38",,CaseFatalityRateCFR_9aad95a5-348e-434e-92b0-b8d4ec427822
Epidemiology,Animal Health,Case Fatality Rate (CFR),"The CFR is a case fatality expressed over time. It is therefore a true rate, since time is included in the denominator. It can be expressed as number of deaths among cases per 100 or 1000 individual-years. Depending on the disease, it may also be expressed per individual-weeks or individual months. As a rate, it reflects the dynamic of the fatality over time, among cases.",,,,https://wiki.ecdc.europa.eu/fem/w/wiki/attack-rates-and-case-fatality,,,,Website,Attack rates and case fatality,Accessed 23.04.2019,ECDC,,,Adapted from ECDC field epidemiology manual wiki,"Do., Apr. 4 2019 11:37:38",23.04.2019 00:56:11,CaseFatalityRateCFR_39299c3b-73f1-4fa3-8a67-de66311ff265
Epidemiology,Public Health,Case Fatality Rate (CFR),The proportion of persons with a particular condition (cases) who die from that condition. The denominator is the number of incident cases; the numerator is the number of cause-specific deaths among those cases.,,,,https://www.cdc.gov/reproductivehealth/data_stats/glossary.html,,,,Website,Epidemiology Glossary,Accessed on: 17.05.2019,,CDC,,CDC glossary,"Do., Apr. 4 2019 11:37:38",,CaseFatalityRateCFR_75a82fe6-0702-4937-ab6f-610f72887176
 Epidemiology,Public Health,case fatality ratio,The case fatality ratio is the comparison of Case fatality rate (CFR) of two diseases.,,Case fatality rate (CFR), CaseFatalityRateCFR_75a82fe6-0702-4937-ab6f-610f72887176; CaseFatalityRateCFR_39299c3b-73f1-4fa3-8a67-de66311ff265; CaseFatalityRateCFR_9aad95a5-348e-434e-92b0-b8d4ec427822,https://wiki.ecdc.europa.eu/fem/w/wiki/attack-rates-and-case-fatality,,,,ECDC,"Case fatality, rates and ratios: all the same?",Accessed: 14.05.2019,,,,,Tue May 14 2019 17:21:13 GMT+0200 (Mitteleuropäische Sommerzeit),,casefatalityratio_cdc93ab0-8e17-4b24-b3f2-4748dd1d6fa9
Sampling and Laboratory testing,Public Health,causative agent,The organism or toxin that is responsible for causing a specific disease or harmful effect.,,,,https://definedterm.com/causative_agent/295994,,,,Book,Chemical/Biological/Radiological Incident Handbook,1998,,US Cetral Intelligence Agency,,,"Do., Apr. 4 2019 11:37:38",,causativeagent_4c9e2bae-86a8-4654-8e8d-976f23deb359
Sampling and laboratory testing,Shared Term,causative agent,"the pathogen or its product, such as a toxin or bioactive amine, considered to be the cause of the food-borne outbreak.",,,,https://doi.org/10.2903/sp.efsa.2017.EN-1174,10.2903/sp.efsa.2017.EN-1174,,,Report,Manual for reporting on food‐borne outbreaks in accordance with Directive 2003/99/EC for information deriving from the year 2016,2017,,EFSA,,,"Do., Apr. 4 2019 11:37:44",24.04.2019 05:12:58,causativeagent_5ec9673a-51d1-429a-baf1-6e855cde214e
Others,Public Health,census (sampling),,,,,,,,,ORION preliminary definition,,,,,,,,,censussampling_67833e3c-3e5f-4699-bf87-35675915a650
